x,y,z,hit,v_type,distance_km,latitude,longitude,hit_step
-1.73841,0.63545,-1.00000,0.42494,0,19.25000,42.83905,13.14626,0
-1.97353,0.72033,-1.00000,0.43197,0,19.50000,42.83982,13.14914,0
-2.20866,0.80521,-1.00000,0.43920,0,19.75000,42.84058,13.15202,0
-2.44378,0.89008,-1.00000,0.44668,0,20.00000,42.84135,13.15489,0
-2.67891,0.97494,-1.00000,0.45444,0,20.25000,42.84211,13.15777,0
-2.91403,1.05979,-1.00000,0.46247,0,20.50000,42.84287,13.16065,0
-3.14916,1.14463,-1.00000,0.47074,0,20.75000,42.84364,13.16352,0
-3.38428,1.22947,-1.00000,0.47907,0,21.00000,42.84440,13.16640,0
-3.61941,1.31430,-1.00000,0.48712,0,21.25000,42.84516,13.16928,0
-3.85453,1.39912,-1.00000,0.49460,0,21.50000,42.84593,13.17215,0
-4.08966,1.48393,-1.00000,0.50117,0,21.75000,42.84669,13.17503,0
-4.32478,1.56873,-1.00000,0.50652,0,22.00000,42.84745,13.17791,0
-4.55991,1.65353,-1.00000,0.51033,0,22.25000,42.84822,13.18078,0
-4.79504,1.73832,-1.00000,0.51228,0,22.50000,42.84898,13.18366,0
-5.03016,1.82310,-1.00000,0.51205,0,22.75000,42.84974,13.18654,0
-5.26529,1.90787,-1.00000,0.50933,0,23.00000,42.85051,13.18942,0
-5.50041,1.99263,-1.00000,0.50382,0,23.25000,42.85127,13.19229,0
-5.73554,2.07739,-1.00000,0.49523,0,23.50000,42.85203,13.19517,0
-5.97066,2.16214,-1.00000,0.48326,0,23.75000,42.85280,13.19805,0
-6.20579,2.24688,-1.00000,0.46775,0,24.00000,42.85356,13.20093,0
-6.44091,2.33161,-1.00000,0.44898,0,24.25000,42.85432,13.20380,0
-6.67604,2.41633,-1.00000,0.42746,0,24.50000,42.85508,13.20668,0
-6.91116,2.50105,-1.00000,0.40367,0,24.75000,42.85585,13.20956,0
-7.14629,2.58575,-1.00000,0.37815,0,25.00000,42.85661,13.21244,0
-7.38141,2.67045,-1.00000,0.35144,0,25.25000,42.85737,13.21532,0
-7.61654,2.75514,-1.00000,0.32406,0,25.50000,42.85813,13.21819,0
-7.85167,2.83983,-1.00000,0.29659,0,25.75000,42.85890,13.22107,0
-8.08679,2.92450,-1.00000,0.26956,0,26.00000,42.85966,13.22395,0
-8.32192,3.00917,-1.00000,0.24356,0,26.25000,42.86042,13.22683,0
-8.55704,3.09383,-1.00000,0.21914,0,26.50000,42.86118,13.22971,0
-8.79217,3.17848,-1.00000,0.19685,0,26.75000,42.86194,13.23258,0
-9.02729,3.26312,-1.00000,0.17727,0,27.00000,42.86271,13.23546,0
-9.26242,3.34776,-1.00000,0.16081,0,27.25000,42.86347,13.23834,0
-9.49754,3.43239,-1.00000,0.14748,0,27.50000,42.86423,13.24122,0
-9.73267,3.51701,-1.00000,0.13725,0,27.75000,42.86499,13.24410,0
-9.96779,3.60162,-1.00000,0.13007,0,28.00000,42.86575,13.24698,0
-10.20292,3.68622,-1.00000,0.12590,0,28.25000,42.86652,13.24986,0
-10.43805,3.77082,-1.00000,0.12474,0,28.50000,42.86728,13.25274,0
-10.67317,3.85540,-1.00000,0.12655,0,28.75000,42.86804,13.25561,0
-10.90830,3.93998,-1.00000,0.13133,0,29.00000,42.86880,13.25849,0
-11.14342,4.02455,-1.00000,0.13907,0,29.25000,42.86956,13.26137,0
-11.37855,4.10911,-1.00000,0.14978,0,29.50000,42.87032,13.26425,0
-11.61367,4.19367,-1.00000,0.16349,0,29.75000,42.87108,13.26713,0
-11.84880,4.27822,-1.00000,0.18020,0,30.00000,42.87184,13.27001,0
16.36625,-5.92471,-0.75000,0.21683,0,0.00000,42.78000,12.92500,0
16.13113,-5.83921,-0.75000,0.20320,0,0.25000,42.78077,12.92787,0
15.89600,-5.75371,-0.75000,0.18902,0,0.50000,42.78154,12.93074,0
15.66087,-5.66823,-0.75000,0.17452,0,0.75000,42.78231,12.93361,0
15.42575,-5.58275,-0.75000,0.15995,0,1.00000,42.78308,12.93648,0
15.19062,-5.49728,-0.75000,0.14560,0,1.25000,42.78385,12.93936,0
14.95550,-5.41182,-0.75000,0.13175,0,1.50000,42.78462,12.94223,0
14.72037,-5.32637,-0.75000,0.11864,0,1.75000,42.78539,12.94510,0
14.48525,-5.24092,-0.75000,0.10638,0,2.00000,42.78616,12.94797,0
14.25012,-5.15549,-0.75000,0.09500,0,2.25000,42.78692,12.95084,0
14.01500,-5.07006,-0.75000,0.08455,0,2.50000,42.78769,12.95371,0
13.77987,-4.98464,-0.75000,0.07504,0,2.75000,42.78846,12.95658,0
13.54474,-4.89922,-0.75000,0.06646,0,3.00000,42.78923,12.95946,0
13.30962,-4.81382,-0.75000,0.05879,0,3.25000,42.79000,12.96233,0
13.07449,-4.72842,-0.75000,0.05200,0,3.50000,42.79077,12.96520,0
12.83937,-4.64303,-0.75000,0.04605,0,3.75000,42.79154,12.96807,0
12.60424,-4.55765,-0.75000,0.04088,0,4.00000,42.79231,12.97094,0
12.36912,-4.47228,-0.75000,0.03642,0,4.25000,42.79307,12.97381,0
12.13399,-4.38691,-0.75000,0.03259,0,4.50000,42.79384,12.97669,0
11.89887,-4.30156,-0.75000,0.02930,0,4.75000,42.79461,12.97956,0
11.66374,-4.21621,-0.75000,0.02651,0,5.00000,42.79538,12.98243,0
11.42861,-4.13087,-0.75000,0.02419,0,5.25000,42.79615,12.98530,0
11.19349,-4.04553,-0.75000,0.02233,0,5.50000,42.79692,12.98818,0
10.95836,-3.96021,-0.75000,0.02091,0,5.75000,42.79768,12.99105,0
10.72324,-3.87489,-0.75000,0.01992,0,6.00000,42.79845,12.99392,0
10.48811,-3.78958,-0.75000,0.01933,0,6.25000,42.79922,12.99679,0
10.25299,-3.70428,-0.75000,0.01913,0,6.50000,42.79999,12.99967,0
10.01786,-3.61899,-0.75000,0.01928,0,6.75000,42.80076,13.00254,0
9.78274,-3.53370,-0.75000,0.01978,0,7.00000,42.80152,13.00541,0
9.54761,-3.44843,-0.75000,0.02057,0,7.25000,42.80229,13.00828,0
9.31249,-3.36316,-0.75000,0.02164,0,7.50000,42.80306,13.01116,0
9.07736,-3.27790,-0.75000,0.02294,0,7.75000,42.80383,13.01403,0
8.84223,-3.19264,-0.75000,0.02445,0,8.00000,42.80459,13.01690,0
8.60711,-3.10740,-0.75000,0.02615,0,8.25000,42.80536,13.01978,0
8.37198,-3.02216,-0.75000,0.02807,0,8.50000,42.80613,13.02265,0
8.13686,-2.93693,-0.75000,0.03024,0,8.75000,42.80690,13.02552,0
7.90173,-2.85171,-0.75000,0.03269,0,9.00000,42.80766,13.02840,0
7.66661,-2.76650,-0.75000,0.03547,0,9.25000,42.80843,13.03127,0
7.43148,-2.68129,-0.75000,0.03864,0,9.50000,42.80920,13.03414,0
7.19636,-2.59610,-0.75000,0.04224,0,9.75000,42.80996,13.03702,0
6.96123,-2.51091,-0.75000,0.04634,0,10.00000,42.81073,13.03989,0
6.72611,-2.42573,-0.75000,0.05100,0,10.25000,42.81150,13.04276,0
6.49098,-2.34055,-0.75000,0.05629,0,10.50000,42.81226,13.04564,0
6.25586,-2.25539,-0.75000,0.06229,0,10.75000,42.81303,13.04851,0
6.02073,-2.17023,-0.75000,0.06906,0,11.00000,42.81380,13.05139,0
5.78560,-2.08508,-0.75000,0.07668,0,11.25000,42.81456,13.05426,0
5.55048,-1.99994,-0.75000,0.08515,0,11.50000,42.81533,13.05713,0
5.31535,-1.91481,-0.75000,0.09444,0,11.75000,42.81610,13.06001,0
5.08023,-1.82968,-0.75000,0.10452,0,12.00000,42.81686,13.06288,0
4.84510,-1.74457,-0.75000,0.11536,0,12.25000,42.81763,13.06576,0
4.60998,-1.65946,-0.75000,0.12692,0,12.50000,42.81839,13.06863,0
4.37485,-1.57436,-0.75000,0.13916,0,12.75000,42.81916,13.07150,0
4.13973,-1.48926,-0.75000,0.15204,0,13.00000,42.81993,13.07438,0
3.90460,-1.40418,-0.75000,0.16552,0,13.25000,42.82069,13.07725,0
3.66948,-1.31910,-0.75000,0.17956,0,13.50000,42.82146,13.08013,0
3.43435,-1.23403,-0.75000,0.19411,0,13.75000,42.82222,13.08300,0
3.19923,-1.14897,-0.75000,0.20916,0,14.00000,42.82299,13.08588,0
2.96410,-1.06392,-0.75000,0.22465,0,14.25000,42.82376,13.08875,0
2.72897,-0.97888,-0.75000,0.24054,0,14.50000,42.82452,13.09163,0
2.49385,-0.89384,-0.75000,0.25669,0,14.75000,42.82529,13.09450,0
2.25872,-0.80881,-0.75000,0.27295,0,15.00000,42.82605,13.09738,0
2.02360,-0.72379,-0.75000,0.28917,0,15.25000,42.82682,13.10025,0
1.78847,-0.63878,-0.75000,0.30523,0,15.50000,42.82758,13.10313,0
1.55335,-0.55377,-0.75000,0.32100,0,15.75000,42.82835,13.10600,0
1.31822,-0.46878,-0.75000,0.33637,0,16.00000,42.82911,13.10888,0
1.08310,-0.38379,-0.75000,0.35122,0,16.25000,42.82988,13.11175,0
0.84797,-0.29881,-0.75000,0.36545,0,16.50000,42.83064,13.11463,0
0.61285,-0.21384,-0.75000,0.37899,0,16.75000,42.83141,13.11750,0
0.37772,-0.12887,-0.75000,0.39176,0,17.00000,42.83217,13.12038,0
0.14260,-0.04391,-0.75000,0.40368,0,17.25000,42.83294,13.12326,0
-0.09253,0.04103,-0.75000,0.41471,0,17.50000,42.83370,13.12613,0
-0.32765,0.12597,-0.75000,0.42489,0,17.75000,42.83447,13.12901,0
-0.56278,0.21091,-0.75000,0.43441,0,18.00000,42.83523,13.13188,0
-0.79790,0.29583,-0.75000,0.44342,0,18.25000,42.83600,13.13476,0
-1.03303,0.38075,-0.75000,0.45207,0,18.50000,42.83676,13.13764,0
-1.26816,0.46566,-0.75000,0.46049,0,18.75000,42.83752,13.14051,0
-1.50328,0.55056,-0.75000,0.46879,0,19.00000,42.83829,13.14339,0
-1.73841,0.63545,-0.75000,0.47704,0,19.25000,42.83905,13.14626,0
-1.97353,0.72033,-0.75000,0.48533,0,19.50000,42.83982,13.14914,0
-2.20866,0.80521,-0.75000,0.49369,0,19.75000,42.84058,13.15202,0
-2.44378,0.89008,-0.75000,0.50214,0,20.00000,42.84135,13.15489,0
-2.67891,0.97494,-0.75000,0.51068,0,20.25000,42.84211,13.15777,0
-2.91403,1.05979,-0.75000,0.51929,0,20.50000,42.84287,13.16065,0
-3.14916,1.14463,-0.75000,0.52791,0,20.75000,42.84364,13.16352,0
-3.38428,1.22947,-0.75000,0.53635,0,21.00000,42.84440,13.16640,0
-3.61941,1.31430,-0.75000,0.54432,0,21.25000,42.84516,13.16928,0
-3.85453,1.39912,-0.75000,0.55154,0,21.50000,42.84593,13.17215,0
-4.08966,1.48393,-0.75000,0.55771,0,21.75000,42.84669,13.17503,0
-4.32478,1.56873,-0.75000,0.56255,0,22.00000,42.84745,13.17791,0
-4.55991,1.65353,-0.75000,0.56576,0,22.25000,42.84822,13.18078,0
-4.79504,1.73832,-0.75000,0.56706,0,22.50000,42.84898,13.18366,0
-5.03016,1.82310,-0.75000,0.56618,0,22.75000,42.84974,13.18654,0
-5.26529,1.90787,-0.75000,0.56281,0,23.00000,42.85051,13.18942,0
