x,y,z,v,v_type,distance_km,latitude,longitude
-2.67891,0.97494,-1.00000,5.14593,0,20.25000,42.84211,13.15777
-2.91403,1.05979,-1.00000,5.16207,0,20.50000,42.84287,13.16065
-3.14916,1.14463,-1.00000,5.17899,0,20.75000,42.84364,13.16352
-3.38428,1.22947,-1.00000,5.19585,0,21.00000,42.84440,13.16640
-3.61941,1.31430,-1.00000,5.21173,0,21.25000,42.84516,13.16928
-3.85453,1.39912,-1.00000,5.22574,0,21.50000,42.84593,13.17215
-4.08966,1.48393,-1.00000,5.23704,0,21.75000,42.84669,13.17503
-4.32478,1.56873,-1.00000,5.24482,0,22.00000,42.84745,13.17791
-4.55991,1.65353,-1.00000,5.24833,0,22.25000,42.84822,13.18078
-4.79504,1.73832,-1.00000,5.24687,0,22.50000,42.84898,13.18366
-5.03016,1.82310,-1.00000,5.23981,0,22.75000,42.84974,13.18654
-5.26529,1.90787,-1.00000,5.22659,0,23.00000,42.85051,13.18942
-5.50041,1.99263,-1.00000,5.20673,0,23.25000,42.85127,13.19229
-5.73554,2.07739,-1.00000,5.17986,0,23.50000,42.85203,13.19517
-5.97066,2.16214,-1.00000,5.14575,0,23.75000,42.85280,13.19805
-6.20579,2.24688,-1.00000,5.10447,0,24.00000,42.85356,13.20093
-6.44091,2.33161,-1.00000,5.05709,0,24.25000,42.85432,13.20380
-6.67604,2.41633,-1.00000,5.00506,0,24.50000,42.85508,13.20668
-6.91116,2.50105,-1.00000,4.94976,0,24.75000,42.85585,13.20956
-7.14629,2.58575,-1.00000,4.89254,0,25.00000,42.85661,13.21244
-7.38141,2.67045,-1.00000,4.83470,0,25.25000,42.85737,13.21532
-7.61654,2.75514,-1.00000,4.77744,0,25.50000,42.85813,13.21819
-7.85167,2.83983,-1.00000,4.72190,0,25.75000,42.85890,13.22107
-8.08679,2.92450,-1.00000,4.66913,0,26.00000,42.85966,13.22395
-8.32192,3.00917,-1.00000,4.62009,0,26.25000,42.86042,13.22683
-8.55704,3.09383,-1.00000,4.57562,0,26.50000,42.86118,13.22971
-8.79217,3.17848,-1.00000,4.53648,0,26.75000,42.86194,13.23258
-9.02729,3.26312,-1.00000,4.50331,0,27.00000,42.86271,13.23546
-9.26242,3.34776,-1.00000,4.47639,0,27.25000,42.86347,13.23834
-9.49754,3.43239,-1.00000,4.45519,0,27.50000,42.86423,13.24122
-9.73267,3.51701,-1.00000,4.43909,0,27.75000,42.86499,13.24410
-9.96779,3.60162,-1.00000,4.42750,0,28.00000,42.86575,13.24698
-10.20292,3.68622,-1.00000,4.41984,0,28.25000,42.86652,13.24986
-10.43805,3.77082,-1.00000,4.41558,0,28.50000,42.86728,13.25274
-10.67317,3.85540,-1.00000,4.41423,0,28.75000,42.86804,13.25561
