date-time,latitude,longitude,depth,RMS,Nphs,errH,errZ,Mamp,errOT,stderrX,stderrY,publicId
2016-10-20T10:55:41.210000Z,42.783,13.09137,3.974,0.07292,21,0.312,0.5467,0.0,0.02167,0.1519,0.2723,8593051
2016-10-20T11:37:33.270000Z,42.83783,13.21133,11.03,0.08383,28,0.249,0.2868,0.0,0.01849,0.1631,0.1886,8593311
2016-10-20T12:01:37.230000Z,42.86683,13.16313,4.501,0.1021,30,0.198,0.2158,0.0,0.01693,0.1302,0.1494,8593601
2016-10-20T12:02:56.700000Z,42.76017,13.15043,1.598,0.1053,18,0.279,0.5001,0.0,0.02283,0.1494,0.2359,8593671
2016-10-20T12:26:34.060000Z,42.867,13.08075,3.285,0.05029,14,0.288,0.34,0.0,0.02531,0.1732,0.2302,8593881
2016-10-20T12:39:09.267000Z,42.7585,13.0404,5.842,0.04467,15,0.335,0.7657,0.0,0.02363,0.1833,0.2802,8593961
2016-10-20T12:46:50.530000Z,42.88067,13.1507,2.52,0.0783,12,0.358,0.9992,0.0,0.03567,0.2098,0.2895,8594101
2016-10-20T12:49:24.840000Z,42.8295,13.20783,9.458,0.005781,7,0.852,1.3,0.0,0.03574,0.3141,0.7923,8594111
2016-10-20T13:01:17.260000Z,42.84833,13.26433,0.6024,0.08808,22,0.215,0.2838,0.0,0.0198,0.1443,0.1598,8594211
2016-10-20T13:06:12.970000Z,42.7415,13.177,9.587,0.06099,28,0.232,0.3259,0.0,0.01849,0.1477,0.1795,8594241
2016-10-20T13:08:16.930000Z,42.87817,13.14887,3.547,0.08168,20,0.255,0.2763,0.0,0.02071,0.164,0.1955,8594311
2016-10-20T13:31:48.650000Z,42.779,13.11563,1.294,0.04052,8,0.705,0.6809,0.0,0.035,0.4158,0.5695,8594471
2016-10-20T13:58:35.480000Z,42.86633,13.1632,4.347,0.06197,35,0.198,0.1757,0.0,0.01549,0.1278,0.1508,8594681
2016-10-20T14:00:35.770000Z,42.73983,13.20933,6.777,0.08432,47,0.165,0.2291,0.0,0.01335,0.1009,0.1303,8594701
2016-10-20T14:04:16.079999Z,42.73933,13.1615,9.333,0.06482,18,0.289,0.4418,0.0,0.02219,0.1714,0.2328,8594741
2016-10-20T15:05:57.540000Z,42.8895,13.14525,3.791,0.08401,21,0.244,0.3322,0.0,0.02023,0.1573,0.1869,8595071
2016-10-20T15:11:20.930000Z,42.74783,13.2495,7.69,0.04586,19,0.294,0.5479,0.0,0.02162,0.167,0.2423,8595101
2016-10-20T15:40:02.263000Z,42.8585,13.23167,0.6303,0.06503,12,0.3,0.3247,0.0,0.02718,0.164,0.2507,8595381
2016-10-20T16:00:13.700000Z,42.869,13.16102,4.108,0.06583,28,0.239,0.2237,0.0,0.01806,0.145,0.1906,8595511
2016-10-20T16:08:21.810000Z,42.86783,13.24,4.398,0.07758,24,0.239,0.2172,0.0,0.01863,0.1519,0.184,8595611
2016-10-20T16:12:00.272600Z,42.84967,13.2325,5.978,0.05577,17,0.286,0.3107,0.0,0.02344,0.1873,0.2161,8595661
2016-10-20T16:27:36.780000Z,42.87167,13.24083,4.603,0.07749,20,0.256,0.3095,0.0,0.02073,0.1658,0.1957,8595791
2016-10-20T16:30:44.000000Z,42.85933,13.22517,1.037,0.06994,9,0.35,0.5014,0.0,0.03006,0.1907,0.2939,8595841
2016-10-20T17:26:41.950000Z,42.81883,13.18533,7.834,0.07802,25,0.241,0.2873,0.0,0.01855,0.1651,0.176,8596081
2016-10-20T17:29:16.990000Z,42.87067,13.07435,3.492,0.07889,18,0.26,0.2762,0.0,0.02212,0.1554,0.208,8596111
2016-10-20T17:44:24.320000Z,42.86767,13.16195,4.221,0.04381,19,0.273,0.2769,0.0,0.02188,0.1731,0.2107,8596251
2016-10-20T17:45:33.159999Z,42.82667,13.26283,5.719,0.09218,15,0.299,0.4683,0.0,0.02258,0.1737,0.2438,8596281
2016-10-20T18:05:49.080000Z,42.81533,13.23633,3.058,0.06199,38,0.194,0.436,0.0,0.01478,0.1087,0.1603,8596431
2016-10-20T18:12:54.460000Z,42.88367,13.24767,3.495,0.05784,19,0.298,0.3027,0.0,0.02168,0.1515,0.2567,8596491
2016-10-20T18:40:30.450000Z,42.7865,13.18067,5.829,0.0675,22,0.251,0.3765,0.0,0.01965,0.1548,0.1978,8596741
2016-10-20T19:31:25.630000Z,42.798,13.00572,2.504,0.05542,21,0.258,0.7883,0.0,0.02155,0.1394,0.2175,8597021
2016-10-20T19:42:47.140000Z,42.77317,13.1581,4.588,0.0604,20,0.235,0.5127,0.0,0.02085,0.1545,0.1773,8597121
2016-10-20T20:12:57.410000Z,42.85583,13.05812,7.34,0.116,18,0.476,0.8107,0.0,0.02726,0.2895,0.3779,8597341
2016-10-20T21:11:20.870000Z,42.8005,13.00154,1.657,0.05732,12,0.31,0.793,0.0,0.02868,0.1621,0.2639,8597591
2016-10-20T21:14:33.950000Z,42.7665,13.13488,9.556,0.04689,23,0.238,0.3097,0.0,0.01937,0.1606,0.1753,8597661
2016-10-20T21:15:22.560000Z,42.86883,13.24517,2.841,0.05411,15,0.322,0.3565,0.0,0.02419,0.2004,0.2519,8597681
2016-10-20T21:18:18.190000Z,42.72733,13.1705,9.165,0.05693,25,0.213,0.3095,0.0,0.01836,0.1415,0.1594,8597691
2016-10-20T21:24:05.348000Z,42.848,13.17633,2.602,0.0631,29,0.195,0.1668,0.0,0.01692,0.1288,0.146,8597731
2016-10-20T21:30:04.486000Z,42.8675,13.16338,4.064,0.05387,32,0.188,0.1815,0.0,0.01579,0.1148,0.1492,8597781
2016-10-20T21:47:55.920000Z,42.787,13.23317,4.694,0.06297,19,0.242,0.9351,0.0,0.0212,0.1485,0.1905,8597911
2016-10-20T22:16:35.220000Z,42.87083,13.24233,3.38,0.0541,27,0.22,0.2431,0.0,0.01772,0.1531,0.1582,8598151
2016-10-20T22:20:53.450000Z,42.81817,13.15368,10.2,0.0453,11,0.512,0.5474,0.0,0.02845,0.254,0.4441,8598201
2016-10-20T22:39:03.470000Z,42.81033,13.19583,10.61,0.074,14,0.65,1.029,0.0,0.0312,0.4019,0.5105,8598261
2016-10-20T22:39:49.160000Z,42.86967,13.23517,3.896,0.0559,12,0.419,0.3988,0.0,0.02679,0.2613,0.3276,8598271
2016-10-20T22:46:01.418000Z,42.898,13.24033,3.314,0.04527,36,0.177,0.1902,0.0,0.0145,0.1101,0.138,8598331
2016-10-20T22:47:50.300000Z,42.89867,13.23933,3.237,0.08899,24,0.235,0.2059,0.0,0.01866,0.14,0.1885,8598371
2016-10-20T22:51:28.540000Z,42.86867,13.2385,4.164,0.05294,12,0.345,0.3983,0.0,0.02692,0.2216,0.2638,8598451
2016-10-20T22:52:55.720000Z,42.80817,13.24383,4.445,0.09297,24,0.227,0.3102,0.0,0.01933,0.1293,0.1861,8598461
2016-10-20T23:05:19.730000Z,42.897,13.2385,4.044,0.04672,11,0.358,0.4194,0.0,0.02996,0.2434,0.2626,8598541
2016-10-20T23:30:23.930000Z,42.80083,13.21217,5.243,0.05556,20,0.271,0.53,0.0,0.02114,0.1687,0.2117,8598771
2016-10-20T23:37:54.560000Z,42.89833,13.24083,3.578,0.03948,40,0.172,0.1716,0.0,0.01403,0.112,0.1309,8598851
2016-10-21T00:13:41.300000Z,42.78517,13.12553,2.603,0.1034,37,0.185,0.2693,0.0,0.0146,0.1137,0.1458,8599031
