date-time, latitude, longitude, depth, RMS, Nphs, Gap, Dist, errH, errZ, Mamp, Mdur, expect_lat, expect_lon, expect_z, EllipsoidAz1, EllipsoidDip1, EllipsoidLen1, EllipsoidAz2, EllipsoidDip2, EllipsoidLen2, EllipsoidLen3, minHorUnc, maxHorUnc, azMaxHorUnc, pdfVolume, publicId
2016-10-20T03:15:38.633214, 42.8073, 13.2481, 10.1523, 0.0676205, 48, 57.0, 7.35817, 0.104207, 0.23449066, -9.9, -9.9, 42.8074, 13.2479, 10.1019, 317.325, -0.947091, 0.113209, 227.332, 0.432174, 0.129083, 0.290542, 0.0914512, 0.104207, 47.1988, 0.008618583, 8589301
2016-10-20T03:18:10.402307, 42.7404, 13.1912, 6.0430, 0.0764673, 47, 41.0, 12.1257, 0.157328, 0.36127797, -9.9, -9.9, 42.7403, 13.1913, 6.0201, 223.12, 4.2051, 0.160566, 313.36, 3.26585, 0.193419, 0.4492242, 0.131854, 0.157328, 129.628, 0.02716086, 8589351
2016-10-20T03:20:51.648685, 42.7689, 13.1033, 6.9219, 0.0551844, 14, 90.0, 11.954, 0.468244, 1.7573304, -9.9, -9.9, 42.7701, 13.1035, 7.5842, 224.452, 5.98572, 0.289087, 313.917, -5.09526, 0.539969, 2.197063, 0.286513, 0.468244, 146.231, 0.6675366, 8589401
2016-10-20T03:27:52.941518, 42.8946, 13.2358, 3.0430, 0.0724713, 28, 87.0, 4.25436, 0.276572, 0.29898155, -9.9, -9.9, 42.8941, 13.2377, 3.1132, 195.319, 6.46231, 0.189942, 290.056, 36.0937, 0.303367, 0.404566, 0.155665, 0.276572, 102.565, 0.02768951, 8589461
2016-10-20T03:28:52.133015, 42.7406, 13.1911, 6.0391, 0.0416546, 14, 74.0, 12.9055, 0.177395, 0.45461497, -9.9, -9.9, 42.7401, 13.1913, 5.9920, 221.928, 3.71526, 0.170905, 311.924, -0.0657884, 0.219767, 0.5642832, 0.140792, 0.177395, 131.993, 0.03635988, 8589501
2016-10-20T03:43:18.113116, 42.7407, 13.1908, 6.0430, 0.0614026, 17, 84.0, 4.98664, 0.160506, 0.34138203, -9.9, -9.9, 42.7404, 13.1912, 6.0192, 221.646, 4.78474, 0.153403, 311.931, 3.39428, 0.197502, 0.4247983, 0.126572, 0.160506, 128.961, 0.0247333, 8589581
2016-10-20T03:55:46.439815, 42.7023, 13.2355, 0.8281, 0.206901, 17, 91.0, 8.49271, 3.8218, 1.1261139, -9.9, -9.9, 42.7045, 13.2333, 1.1288, 97.4949, -13.9211, 0.794992, 298.372, -75.1427, 1.36161, 4.751925, 0.676922, 3.8218, 8.69251, 0.3396664, 8589671
2016-10-20T03:57:55.737448, 42.7754, 13.2640, 10.5234, 0.0545203, 26, 100.0, 8.61529, 0.351731, 0.76718163, -9.9, -9.9, 42.7750, 13.2636, 10.7000, 342.213, 2.45006, 0.279831, 252.707, -11.4112, 0.398822, 0.9670962, 0.227506, 0.351731, 68.8633, 0.2197534, 8589711
2016-10-20T04:02:46.038856, 42.8754, 13.0720, 3.2266, 0.0749526, 12, 180.0, 9.69464, 0.60459, 1.0948948, -9.9, -9.9, 42.8751, 13.0713, 3.1760, 245.711, 5.14928, 0.26048, 334.76, -10.4303, 0.717066, 1.37843, 0.230025, 0.60459, 158.37, 0.189801, 8589751
2016-10-20T04:17:41.861550, 42.8007, 13.2073, 4.3359, 0.0635514, 30, 79.0, 6.41335, 0.206286, 0.5182894, -9.9, -9.9, 42.8007, 13.2075, 4.2664, 339.24, -10.2383, 0.188587, 248.599, -3.54382, 0.25088, 0.6526868, 0.174841, 0.206286, 82.2875, 0.06368892, 8589801
2016-10-20T04:44:54.454580, 42.8549, 13.0900, 8.2422, 0.0701071, 37, 49.0, 3.09548, 0.43827, 0.32723284, -9.9, -9.9, 42.8537, 13.0900, 8.2152, 78.8137, -34.2356, 0.268455, 247.468, -55.2366, 0.453817, 0.5438349, 0.273286, 0.43827, 167.022, 0.04714117, 8590031
2016-10-20T04:50:15.667222, 42.8192, 13.2498, 2.3047, 0.0760751, 41, 57.0, 6.53859, 0.200614, 0.5084396, -9.9, -9.9, 42.8191, 13.2498, 2.2773, 338.238, -5.85485, 0.173601, 248.25, 0.11381, 0.24853, 0.6329417, 0.148822, 0.200614, 68.096, 0.06400757, 8590141
2016-10-20T05:13:33.203232, 42.8270, 13.2411, 3.3281, 0.0568686, 20, 104.0, 5.44307, 0.450308, 0.9260427, -9.9, -9.9, 42.8271, 13.2416, 3.2533, 306.274, -13.7405, 0.309233, 218.888, 10.5665, 0.500165, 1.196339, 0.312246, 0.450308, 16.2388, 0.3387866, 8590461
2016-10-20T05:59:43.347411, 42.8729, 13.2281, 3.2305, 0.0427353, 18, 106.0, 3.74515, 0.104749, 0.14836586, -9.9, -9.9, 42.8727, 13.2282, 3.2168, 239.37, -10.4016, 0.0890276, 333.301, -20.4796, 0.116255, 0.1942116, 0.0745717, 0.104749, 139.131, 0.00422204, 8590901
2016-10-20T06:15:06.509436, 42.8730, 13.2281, 3.2305, 0.0547636, 14, 107.0, 3.75277, 0.11643, 0.16373323, -9.9, -9.9, 42.8728, 13.2282, 3.2291, 246.669, -8.79968, 0.0821198, 340.296, -22.227, 0.127181, 0.2154024, 0.069278, 0.11643, 149.628, 0.004943898, 8591071
2016-10-20T06:28:13.761927, 42.8895, 13.2327, 2.4141, 0.0562065, 10, 137.0, 4.31958, 0.856698, 0.420806, -9.9, -9.9, 42.8857, 13.2360, 2.6182, 239.376, -4.77845, 0.217415, 312.718, 73.7421, 0.449108, 1.094369, 0.177604, 0.856698, 150.516, 0.03167558, 8591251
2016-10-20T06:29:45.854660, 42.8772, 13.2519, -0.1094, 0.0269225, 8, 178.0, 5.70265, 2.42001, 1.9914889, -9.9, -9.9, 42.8669, 13.2572, 0.8067, 67.7524, -6.54731, 0.794368, 348.865, 59.2266, 2.17383, 3.226782, 0.672117, 2.42001, 155.806, 0.3975525, 8591281
2016-10-20T06:36:40.094295, 42.8500, 13.1495, 4.1641, 0.0783014, 12, 161.0, 3.22095, 0.539934, 0.43806818, -9.9, -9.9, 42.8527, 13.1489, 4.0131, 80.2257, 0.763316, 0.201298, 349.187, 53.6805, 0.339262, 0.7917598, 0.162525, 0.539934, 170.684, 0.05579339, 8591371
2016-10-20T06:43:02.730058, 42.8572, 13.2227, 0.8203, 0.0716427, 20, 94.0, 2.83299, 0.211433, 0.35169634, -9.9, -9.9, 42.8576, 13.2229, 0.8748, 207.386, 13.453, 0.212395, 299.35, 8.1524, 0.253617, 0.4483587, 0.184086, 0.211433, 100.609, 0.04704577, 8591411
2016-10-20T06:52:41.498103, 42.8077, 13.2477, 10.0391, 0.0264289, 7, 158.0, 7.30271, 0.176703, 0.39816263, -9.9, -9.9, 42.8074, 13.2474, 10.0530, 312.553, -4.35795, 0.182454, 222.309, -3.20643, 0.217362, 0.4951334, 0.149834, 0.176703, 46.1468, 0.04044502, 8591471
2016-10-20T07:04:13.230669, 42.8152, 13.2580, -0.0391, 0.117095, 41, 96.0, 7.25501, 0.718035, 0.8818816, -9.9, -9.9, 42.8177, 13.2606, 0.3404, 141.706, 8.69626, 0.200847, 237.915, 35.2643, 0.549329, 1.302434, 0.186736, 0.718035, 43.845, 0.1164786, 8591521
2016-10-20T07:14:25.267161, 42.8814, 13.1593, 2.7422, 0.118297, 19, 121.0, 3.62549, 0.496095, 0.62628126, -9.9, -9.9, 42.8809, 13.1588, 2.7027, 55.0434, 4.11419, 0.383819, 145.051, 0.10671, 0.614594, 0.7773913, 0.312279, 0.496095, 145.036, 0.08509812, 8591561
2016-10-20T07:17:40.190227, 42.9481, 13.0213, 9.9922, 0.0558842, 31, 72.0, 2.79427, 0.48146, 1.2468036, -9.9, -9.9, 42.9479, 13.0222, 9.7780, 332.194, -11.489, 0.348031, 239.637, -12.3772, 0.404521, 1.611139, 0.300848, 0.48146, 98.4295, 0.1681852, 8591571
